IDCountry,NameCountry
0,No Country on this record
1,No Country on this record
2,No Country on this record
3,No Country on this record
4,No Country on this record
5,No Country on this record
6,No Country on this record
7,No Country on this record
8,No Country on this record
9,No Country on this record
10,No Country on this record
11,No Country on this record
12,No Country on this record
13,No Country on this record
14,No Country on this record
15,No Country on this record
16,No Country on this record
17,No Country on this record
18,No Country on this record
19,No Country on this record
20,No Country on this record
21,No Country on this record
22,No Country on this record
23,No Country on this record
24,No Country on this record
25,No Country on this record
26,No Country on this record
27,No Country on this record
28,No Country on this record
29,No Country on this record
30,No Country on this record
31,No Country on this record
32,No Country on this record
33,No Country on this record
34,No Country on this record
35,No Country on this record
36,No Country on this record
37,No Country on this record
38,No Country on this record
39,No Country on this record
40,No Country on this record
41,No Country on this record
42,No Country on this record
43,No Country on this record
44,No Country on this record
45,No Country on this record
46,No Country on this record
47,No Country on this record
48,No Country on this record
49,No Country on this record
50,No Country on this record
51,No Country on this record
52,No Country on this record
53,No Country on this record
54,No Country on this record
55,No Country on this record
56,No Country on this record
57,No Country on this record
58,No Country on this record
59,No Country on this record
60,No Country on this record
61,No Country on this record
62,No Country on this record
63,No Country on this record
64,No Country on this record
65,No Country on this record
66,No Country on this record
67,No Country on this record
68,No Country on this record
69,No Country on this record
70,No Country on this record
71,No Country on this record
72,No Country on this record
73,No Country on this record
74,No Country on this record
75,No Country on this record
76,No Country on this record
77,No Country on this record
78,No Country on this record
79,No Country on this record
80,No Country on this record
81,No Country on this record
82,No Country on this record
83,No Country on this record
84,No Country on this record
85,No Country on this record
86,No Country on this record
87,No Country on this record
88,No Country on this record
89,No Country on this record
90,No Country on this record
91,No Country on this record
92,No Country on this record
93,No Country on this record
94,No Country on this record
95,No Country on this record
96,No Country on this record
97,No Country on this record
98,No Country on this record
99,No Country on this record
100,No Country on this record
101,No Country on this record
102,No Country on this record
103,No Country on this record
104,No Country on this record
105,No Country on this record
106,No Country on this record
107,No Country on this record
108,No Country on this record
109,No Country on this record
110,No Country on this record
111,No Country on this record
112,No Country on this record
113,No Country on this record
114,No Country on this record
115,No Country on this record
116,No Country on this record
117,No Country on this record
118,No Country on this record
119,No Country on this record
120,No Country on this record
121,No Country on this record
122,No Country on this record
123,No Country on this record
124,No Country on this record
125,No Country on this record
126,No Country on this record
127,No Country on this record
128,No Country on this record
129,No Country on this record
130,No Country on this record
131,No Country on this record
132,No Country on this record
133,No Country on this record
134,No Country on this record
135,No Country on this record
136,No Country on this record
137,No Country on this record
138,No Country on this record
139,No Country on this record
140,No Country on this record
141,No Country on this record
142,No Country on this record
143,No Country on this record
144,No Country on this record
145,No Country on this record
146,No Country on this record
147,No Country on this record
148,No Country on this record
149,No Country on this record
150,No Country on this record
151,No Country on this record
152,No Country on this record
153,No Country on this record
154,No Country on this record
155,No Country on this record
156,No Country on this record
157,No Country on this record
158,No Country on this record
