VesselType,Description
0,Not available (default)
1,Reserved for future use
2,Reserved for future use
3,Reserved for future use
4,Reserved for future use
5,Reserved for future use
6,Reserved for future use
7,Reserved for future use
8,Reserved for future use
9,Reserved for future use
10,Reserved for future use
11,Reserved for future use
12,Reserved for future use
13,Reserved for future use
14,Reserved for future use
15,Reserved for future use
16,Reserved for future use
17,Reserved for future use
18,Reserved for future use
19,Reserved for future use
20,Wing in ground (WIG) all ships of this type
21,Wing in ground (WIG) Hazardous category A
22,Wing in ground (WIG) Hazardous category B
23,Wing in ground (WIG) Hazardous category C
24,Wing in ground (WIG) Hazardous category D
25,Wing in ground (WIG) Reserved for future use
26,Wing in ground (WIG) Reserved for future use
27,Wing in ground (WIG) Reserved for future use
28,Wing in ground (WIG) Reserved for future use
29,Wing in ground (WIG) Reserved for future use
30,Fishing
31,Towing
32,Towing length exceeds 200m or breadth exceeds 25m
33,Dredging or underwater ops
34,Diving ops
35,Military ops
36,Sailing
37,Pleasure Craft
38,Reserved
39,Reserved
40,High speed craft (HSC) all ships of this type
41,High speed craft (HSC) Hazardous category A
42,High speed craft (HSC) Hazardous category B
43,High speed craft (HSC) Hazardous category C
44,High speed craft (HSC) Hazardous category D
45,High speed craft (HSC) Reserved for future use
46,High speed craft (HSC) Reserved for future use
47,High speed craft (HSC) Reserved for future use
48,High speed craft (HSC) Reserved for future use
49,High speed craft (HSC) No additional information
50,Pilot Vessel
51,Search and Rescue vessel
52,Tug
53,Port Tender
54,Anti-pollution equipment
55,Law Enforcement
56,Spare - Local Vessel
57,Spare - Local Vessel
58,Medical Transport
59,Noncombatant ship according to RR Resolution No. 18
60,Passenger all ships of this type
61,Passenger Hazardous category A
62,Passenger Hazardous category B
63,Passenger Hazardous category C
64,Passenger Hazardous category D
65,Passenger Reserved for future use
66,Passenger Reserved for future use
67,Passenger Reserved for future use
68,Passenger Reserved for future use
69,Passenger No additional information
70,Cargo all ships of this type
71,Cargo Hazardous category A
72,Cargo Hazardous category B
73,Cargo Hazardous category C
74,Cargo Hazardous category D
75,Cargo Reserved for future use
76,Cargo Reserved for future use
77,Cargo Reserved for future use
78,Cargo Reserved for future use
79,Cargo No additional information
80,Tanker all ships of this type
81,Tanker Hazardous category A
82,Tanker Hazardous category B
83,Tanker Hazardous category C
84,Tanker Hazardous category D
85,Tanker Reserved for future use
86,Tanker Reserved for future use
87,Tanker Reserved for future use
88,Tanker Reserved for future use
89,Tanker No additional information
90,Other Type all ships of this type
91,Other Type Hazardous category A
92,Other Type Hazardous category B
93,Other Type Hazardous category C
94,Other Type Hazardous category D
95,Other Type Reserved for future use
96,Other Type Reserved for future use
97,Other Type Reserved for future use
98,Other Type Reserved for future use
99,Other Type no additional information
100,Not available (default)
101,Not available (default)
102,Not available (default)
103,Not available (default)
104,Not available (default)
105,Not available (default)
106,Not available (default)
107,Not available (default)
108,Not available (default)
109,Not available (default)
110,Not available (default)
111,Not available (default)
112,Not available (default)
113,Not available (default)
114,Not available (default)
115,Not available (default)
116,Not available (default)
117,Not available (default)
118,Not available (default)
119,Not available (default)
120,Not available (default)
121,Not available (default)
122,Not available (default)
123,Not available (default)
124,Not available (default)
125,Not available (default)
126,Not available (default)
127,Not available (default)
128,Not available (default)
129,Not available (default)
130,Not available (default)
131,Not available (default)
132,Not available (default)
133,Not available (default)
134,Not available (default)
135,Not available (default)
136,Not available (default)
137,Not available (default)
138,Not available (default)
139,Not available (default)
140,Not available (default)
141,Not available (default)
142,Not available (default)
143,Not available (default)
144,Not available (default)
145,Not available (default)
146,Not available (default)
147,Not available (default)
148,Not available (default)
149,Not available (default)
150,Not available (default)
151,Not available (default)
152,Not available (default)
153,Not available (default)
154,Not available (default)
155,Not available (default)
156,Not available (default)
157,Not available (default)
158,Not available (default)
159,Not available (default)
160,Not available (default)
161,Not available (default)
162,Not available (default)
163,Not available (default)
164,Not available (default)
165,Not available (default)
166,Not available (default)
167,Not available (default)
168,Not available (default)
169,Not available (default)
